CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
no_checking,26,prior_payments_delayed,car_used,6473,100_to_500,1_to_4,4,male,none,3,car_other,43,none,own,2,management_self-employed,1,none,yes,0
less_0,4,no_credits,car_new,1833,less_100,unemployed,1,female,none,1,real_estate,23,none,rent,1,skilled,1,none,yes,0
0_to_200,18,credits_paid_to_date,car_new,1410,500_to_1000,less_1,2,male,none,3,car_other,34,none,rent,1,skilled,1,none,yes,1
less_0,14,credits_paid_to_date,car_new,1071,less_100,4_to_7,2,male,none,2,savings_insurance,33,none,rent,1,skilled,1,none,yes,1
no_checking,25,outstanding_credit,vacation,4296,500_to_1000,greater_7,5,male,none,4,car_other,47,none,free,2,skilled,1,yes,yes,1
no_checking,25,outstanding_credit,education,5614,500_to_1000,1_to_4,4,male,none,3,car_other,45,none,own,1,management_self-employed,1,none,yes,0
0_to_200,4,all_credits_paid_back,car_used,941,less_100,less_1,2,male,none,1,savings_insurance,27,none,own,1,skilled,1,none,yes,0
no_checking,24,prior_payments_delayed,radio_tv,6596,100_to_500,less_1,4,male,none,4,savings_insurance,35,none,own,1,management_self-employed,1,yes,yes,1
0_to_200,4,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,1,male,none,1,car_other,28,stores,rent,2,skilled,1,yes,yes,0
no_checking,31,outstanding_credit,appliances,8001,500_to_1000,greater_7,4,male,co-applicant,5,unknown,52,none,free,2,management_self-employed,1,yes,yes,1
less_0,4,no_credits,car_new,250,less_100,unemployed,1,female,co-applicant,1,real_estate,26,none,own,1,skilled,1,none,yes,0
less_0,9,prior_payments_delayed,furniture,1021,less_100,4_to_7,2,male,none,1,car_other,41,stores,own,1,skilled,1,none,yes,0
no_checking,34,prior_payments_delayed,furniture,5056,500_to_1000,4_to_7,4,male,none,5,savings_insurance,43,stores,own,2,unskilled,1,yes,yes,0
