CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker
no_checking,24,all_credits_paid_back,car_new,5311,less_100,1_to_4,4,male,none,3,savings_insurance,31,none,own,2,skilled,1,none,yes
no_checking,49,outstanding_credit,appliances,10498,greater_1000,4_to_7,5,male,co-applicant,5,unknown,49,none,free,2,management_self-employed,2,yes,yes
no_checking,25,prior_payments_delayed,business,5084,100_to_500,greater_7,4,female,none,3,savings_insurance,36,none,own,2,skilled,1,none,yes
0_to_200,35,prior_payments_delayed,car_used,3346,100_to_500,1_to_4,4,female,none,4,savings_insurance,40,bank,own,2,unemployed,1,none,yes
less_0,22,credits_paid_to_date,retraining,2683,less_100,less_1,3,female,none,2,savings_insurance,28,none,own,1,skilled,1,none,yes
0_to_200,5,all_credits_paid_back,car_used,3261,less_100,less_1,2,female,none,2,real_estate,36,none,rent,1,skilled,1,none,yes
0_to_200,15,prior_payments_delayed,furniture,3295,less_100,4_to_7,4,male,co-applicant,4,car_other,51,none,free,1,skilled,1,yes,yes
no_checking,25,outstanding_credit,radio_tv,6683,500_to_1000,4_to_7,3,female,none,3,unknown,44,none,own,3,skilled,1,yes,yes
no_checking,30,prior_payments_delayed,radio_tv,1960,500_to_1000,4_to_7,4,female,co-applicant,4,real_estate,37,none,own,1,skilled,1,none,yes
less_0,4,credits_paid_to_date,car_used,250,less_100,less_1,1,female,none,1,savings_insurance,19,stores,rent,1,skilled,1,none,yes
0_to_200,28,outstanding_credit,radio_tv,5011,unknown,1_to_4,2,male,none,3,car_other,32,none,own,2,skilled,1,none,yes
no_checking,28,prior_payments_delayed,radio_tv,4153,100_to_500,1_to_4,3,female,none,3,car_other,41,none,own,1,skilled,1,yes,yes
0_to_200,5,all_credits_paid_back,car_used,691,less_100,1_to_4,3,female,none,3,savings_insurance,19,bank,rent,1,unskilled,1,none,yes
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,female,co-applicant,1,savings_insurance,36,stores,free,1,skilled,1,none,yes
greater_200,46,prior_payments_delayed,radio_tv,5727,greater_1000,4_to_7,3,female,co-applicant,4,unknown,43,none,own,2,skilled,1,none,yes
greater_200,25,credits_paid_to_date,car_used,4067,100_to_500,4_to_7,3,male,none,4,savings_insurance,43,stores,free,2,skilled,1,yes,yes
less_0,12,prior_payments_delayed,furniture,997,500_to_1000,4_to_7,3,male,none,2,car_other,32,none,rent,1,skilled,1,none,yes
0_to_200,16,all_credits_paid_back,car_new,2878,less_100,1_to_4,3,male,none,3,car_other,37,none,rent,1,skilled,2,yes,yes
no_checking,32,prior_payments_delayed,business,5843,500_to_1000,greater_7,4,female,none,3,savings_insurance,51,none,own,2,skilled,1,none,yes
0_to_200,20,credits_paid_to_date,furniture,4026,500_to_1000,less_1,3,male,none,2,car_other,36,none,own,1,skilled,1,none,yes
no_checking,32,outstanding_credit,furniture,4581,500_to_1000,4_to_7,3,female,none,2,car_other,52,bank,rent,1,unemployed,1,yes,yes
