CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
less_0,4,credits_paid_to_date,car_new,250,less_100,1_to_4,2,female,none,1,real_estate,25,none,own,1,skilled,1,none,yes,0
less_0,7,prior_payments_delayed,furniture,250,less_100,1_to_4,2,female,none,1,real_estate,37,stores,own,1,skilled,1,none,yes,0
0_to_200,19,prior_payments_delayed,car_used,2894,greater_1000,greater_7,2,male,none,2,car_other,33,bank,own,1,unemployed,1,none,yes,1
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,female,none,1,real_estate,23,stores,rent,1,skilled,1,none,yes,0
0_to_200,4,prior_payments_delayed,car_new,250,less_100,1_to_4,2,male,none,2,real_estate,29,none,own,1,skilled,1,none,yes,0
no_checking,11,credits_paid_to_date,car_new,6680,less_100,1_to_4,3,male,none,4,car_other,40,none,own,1,management_self-employed,1,none,yes,0
0_to_200,34,prior_payments_delayed,appliances,2660,100_to_500,1_to_4,3,female,none,1,savings_insurance,29,bank,own,1,unemployed,1,none,yes,0
no_checking,30,outstanding_credit,furniture,4864,unknown,greater_7,4,male,co-applicant,5,unknown,48,none,own,2,skilled,2,yes,yes,1
0_to_200,10,prior_payments_delayed,repairs,3959,less_100,4_to_7,4,female,none,2,car_other,26,none,own,1,skilled,1,yes,yes,0
less_0,28,credits_paid_to_date,business,299,100_to_500,1_to_4,2,male,none,1,car_other,19,stores,own,1,skilled,1,none,yes,0
0_to_200,11,credits_paid_to_date,car_new,786,less_100,unemployed,2,female,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,0
less_0,8,all_credits_paid_back,car_new,443,less_100,less_1,1,male,none,1,real_estate,19,bank,rent,1,unskilled,1,none,yes,0
